,Answer,Link,Title
0,"To understand whatyielddoes, you must understand whatgeneratorsare. And before generators comeiterables.",/questions/231767/what-does-the-yield-keyword-do,What does the “yield” keyword do?
1,"Yes, it wasaddedin version 2.5. The expression syntax is:",/questions/394809/does-python-have-a-ternary-conditional-operator,Does Python have a ternary conditional operator?
2,A metaclass is the class of a class. A class defines how an instance of the class (i.e. an object) behaves while a metaclass defines how a class behaves. A class is an instance of a metaclass.,/questions/100003/what-are-metaclasses-in-python,What are metaclasses in Python?
3,"If the reason you're checking is so you can do something likeif file_exists: open_it(), it's safer to use atryaround the attempt to open it. Checking and then opening risks the file being deleted or moved or something between when you check and when you try to open it.",/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions,How do I check whether a file exists without exceptions?
4,"Whenever the Python interpreter reads a source file, it does two things:",/questions/419163/what-does-if-name-main-do,What does if __name__ == “__main__”: do?
5,Look at thesubprocess modulein the standard library:,/questions/89228/calling-an-external-command-in-python,Calling an external command in Python
6,"For dictionariesxandy,zbecomes a shallowly merged dictionary with values fromyreplacing those fromx.",/questions/38987/how-to-merge-two-dictionaries-in-a-single-expression,How to merge two dictionaries in a single expression?
7,You can use theinoperator:,/questions/3437059/does-python-have-a-string-contains-substring-method,Does Python have a string 'contains' substring method?
8,"I see two answers with good qualities, each with a small flaw, so I will give my take on it:",/questions/273192/how-can-i-safely-create-a-nested-directory-in-python,How can I safely create a nested directory in Python?
9,"It is not possible to sort a dictionary, only to get a representation of a dictionary that is sorted. Dictionaries are inherently orderless, but other types, such as lists and tuples, are not. So you need an ordered data type to represent sorted values, which will be a list—probably a list of tuples.",/questions/613183/how-do-i-sort-a-dictionary-by-value,How do I sort a dictionary by value?
10,os.listdir()will get you everything that's in a directory - files and directories.,/questions/3207219/how-do-i-list-all-files-of-a-directory,How do I list all files of a directory?
11,Using the implicit booleanness of the empty list is quite pythonic.,/questions/53513/how-do-i-check-if-a-list-is-empty,How do I check if a list is empty?
12,append: Appends object at the end.,/questions/252703/difference-between-append-vs-extend-list-methods-in-python,Difference between append vs. extend list methods in Python
13,"Maybe a bit of example code will help: Notice the difference in the call signatures offoo,class_fooandstatic_foo:",/questions/136097/what-is-the-difference-between-staticmethod-and-classmethod,What is the difference between @staticmethod and @classmethod?
14,"Using an additional state variable, such as an index variable (which you would normally use in languages such as C or PHP), is considered non-pythonic.",/questions/522563/accessing-the-index-in-for-loops,Accessing the index in 'for' loops?
15,You can use a global variable in other functions by declaring it asglobalin each function that assigns to it:,/questions/423379/using-global-variables-in-a-function,Using global variables in a function
16,It's pretty simple really:,/questions/509211/understanding-slice-notation,Understanding slice notation
17,Reference:Data Structures > More on Lists,/questions/176918/finding-the-index-of-an-item-given-a-list-containing-it-in-python,Finding the index of an item given a list containing it in Python
18,inis the intended way to test for the existence of a key in adict.,/questions/1602934/check-if-a-given-key-already-exists-in-a-dictionary,Check if a given key already exists in a dictionary
19,Check outthe documentationto see how decorators work. Here is what you asked for:,/questions/739654/how-to-make-a-chain-of-function-decorators,How to make a chain of function decorators?
20,keyis just a variable name.,/questions/3294889/iterating-over-dictionaries-using-for-loops,Iterating over dictionaries using 'for' loops
21,"Given a list of listsl,",/questions/952914/how-to-make-a-flat-list-out-of-list-of-lists,How to make a flat list out of list of lists?
22,"Good news!Python 3.4(released March 2014) andPython 2.7.9(released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joinsRuby,Node.js,Haskell,Perl,Go—almost every other contemporary language with a majority open-source community. Thank you Python.",/questions/4750806/how-do-i-install-pip-on-windows,How do I install pip on Windows?
23,Here is another example where something is run approximately once a minute:,/questions/510348/how-can-i-make-a-time-delay-in-python,How can I make a time delay in Python?
24,"Alexsummarized well but, surprisingly, was too succinct.",/questions/1436703/difference-between-str-and-repr,Difference between __str__ and __repr__?
25,"Actually, this is not a design flaw, and it is not because of internals, or performance.It comes simply from the fact that functions in Python are first-class objects, and not only a piece of code.",/questions/1132941/least-astonishment-and-the-mutable-default-argument,“Least Astonishment” and the Mutable Default Argument
26,Arguments arepassed by assignment. The rationale behind this is twofold:,/questions/986006/how-do-i-pass-a-variable-by-reference,How do I pass a variable by reference?
27,Use:,/questions/415511/how-to-get-the-current-time-in-python,How to get the current time in Python
28,FromPython Documentation:,/questions/6470428/catch-multiple-exceptions-in-one-line-except-block,Catch multiple exceptions in one line (except block)
29,"super()lets you avoid referring to the base class explicitly, which can be nice. But the main advantage comes with multiple inheritance, where all sorts offun stuffcan happen. See thestandard docs on superif you haven't already.",/questions/576169/understanding-python-super-with-init-methods,Understanding Python super() with __init__() methods [duplicate]
30,NA,/questions/1024847/add-new-keys-to-a-dictionary,Add new keys to a dictionary?
31,One way is to useKivy:,/questions/101754/is-there-a-way-to-run-python-on-android,Is there a way to run Python on Android? [closed]
32,"Withnew_list = my_list, you don't actually have two lists. The assignment just copies the reference to the list, not the actual list, so bothnew_listandmy_listrefer to the same list after the assignment.",/questions/2612802/how-to-clone-or-copy-a-list,How to clone or copy a list?
33,NA,/questions/3277503/how-to-read-a-file-line-by-line-into-a-list,How to read a file line-by-line into a list?
34,NA,/questions/379906/how-do-i-parse-a-string-to-a-float-or-int-in-python,How do I parse a string to a float or int in Python?
35,You can use the+operator to combine them:,/questions/1720421/how-to-concatenate-two-lists-in-python,How to concatenate two lists in Python?
36,The*argsand**kwargsis a common idiom to allow arbitrary number of arguments to functions as described in the sectionmore on defining functionsin the Python documentation.,/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?
37,Here's a generator that yields the chunks you want:,/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks,How do you split a list into evenly sized chunks?
38,Use the most specific Exception constructor that semantically fits your issue.,/questions/2052390/manually-raising-throwing-an-exception-in-python,Manually raising (throwing) an exception in Python
39,"Python calls this concept ""slicing"" and it works on more than just strings. Take a lookherefor a comprehensive introduction.",/questions/663171/is-there-a-way-to-substring-a-string,Is there a way to substring a string?
40,shutilhas many methods you can use. One of which is:,/questions/123198/how-do-i-copy-a-file-in-python,How do I copy a file in Python?
41,"datetime.strptimeis the main routine for parsing strings into datetimes. It can handle all sorts of formats, with the format determined by a format string you give it:",/questions/466345/converting-string-into-datetime,Converting string into datetime
42,Thelen()function can be used with several different types in Python - both built-in types and library types. For example:,/questions/1712227/how-to-get-the-number-of-elements-in-a-list-in-python,How to get the number of elements in a list in Python?
43,"To get the full path to the directory a Python file is contained in, write this in that file:",/questions/5137497/find-current-directory-and-files-directory,Find current directory and file's directory [duplicate]
44,"This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some python code from theblender build scripts:",/questions/287871/print-in-terminal-with-colors,Print in terminal with colors?
45,Use.lower()- For example:,/questions/6797984/how-to-lowercase-a-string-in-python,How to lowercase a string in Python?
46,It's a part of a package.Here's the documentation.,/questions/448271/what-is-init-py-for,What is __init__.py for?
47,"If you need admin privileges to run this, try:",/questions/17271319/how-do-i-install-pip-on-macos-or-os-x,How do I install pip on macOS or OS X?
48,You could use a dictionary:,/questions/60208/replacements-for-switch-statement-in-python,Replacements for switch statement in Python?
49,"Variables declared inside the class definition, but not inside a method are class or static variables:",/questions/68645/are-static-class-variables-possible,Are static class variables possible?
50,os.remove()removes a file.,/questions/6996603/delete-a-file-or-folder,Delete a file or folder
51,"By default,cinis synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance:",/questions/9371238/why-is-reading-lines-from-stdin-much-slower-in-c-than-python,Why is reading lines from stdin much slower in C++ than Python?
52,"There isn't a built-in flag yet, but you can use",/questions/2720014/upgrading-all-packages-with-pip,Upgrading all packages with pip
53,some_list[-1]is the shortest and most Pythonic.,/questions/930397/getting-the-last-element-of-a-list-in-python,Getting the last element of a list in Python
54,"The Python 3range()object doesn't produce numbers immediately; it is a smart sequence object that produces numberson demand. All it contains is your start, stop and step values, then as you iterate over the object the next integer is calculated each iteration.",/questions/30081275/why-is-1000000000000000-in-range1000000000000001-so-fast-in-python-3,Why is “1000000000000000 in range(1000000000000001)” so fast in Python 3?
55,You may also need to call,/questions/493386/how-to-print-without-newline-or-space,How to print without newline or space?
56,"To get the type of an object, you can use the built-intype()function. Passing an object as the only parameter will return the type object of that object:",/questions/2225038/determine-the-type-of-an-object,Determine the type of an object?
57,"It's because any iterable can be joined, not just lists, but the result and the ""joiner"" are always strings.",/questions/493819/python-join-why-is-it-string-joinlist-instead-of-list-joinstring,Python join: why is it string.join(list) instead of list.join(string)?
58,You need to decode the bytes object to produce a string:,/questions/606191/convert-bytes-to-a-string,Convert bytes to a string?
59,It may look cleaner using a key instead a cmp:,/questions/72899/how-do-i-sort-a-list-of-dictionaries-by-a-value-of-the-dictionary,How do I sort a list of dictionaries by a value of the dictionary?
60,Environment variables are accessed throughos.environ,/questions/4906977/how-do-i-access-environment-variables-from-python,How do I access environment variables from Python?
61,"Yep, using thestaticmethoddecorator",/questions/735975/static-methods-in-python,Static methods in Python?
62,Userandom.choice:,/questions/306400/how-to-randomly-select-an-item-from-a-list,How to randomly select an item from a list?
63,Try the methodrstrip()(see docPython 2andPython 3),/questions/275018/how-can-i-remove-a-trailing-newline-in-python,How can I remove a trailing newline in Python?
64,"In case you're thinking it's doing1 < x, which comes out asTrue, and then comparingTrue < 10, which is alsoTrue, then no, that's really not what happens (see the last example.) It's really translating into1 < x and x < 10, andx < 10 and 10 < x * 10 and x*10 < 100, but with less typing and each term is only evaluated once.",/questions/101268/hidden-features-of-python,Hidden features of Python [closed]
65,"Thoughclassmethodandstaticmethodare quite similar, there's a slight difference in usage for both entities:classmethodmust have a reference to a class object as the first parameter, whereasstaticmethodcan have no parameters at all.",/questions/12179271/meaning-of-classmethod-and-staticmethod-for-beginner,Meaning of @classmethod and @staticmethod for beginner? [duplicate]
66,Assuming modulefoowith methodbar:,/questions/3061/calling-a-function-of-a-module-by-using-its-name-a-string,Calling a function of a module by using its name (a string)
67,"Which, not only is ugly and slow",/questions/354038/how-do-i-check-if-a-string-is-a-number-float,How do I check if a string is a number (float)?
68,figuretells you the call signature:,/questions/332289/how-do-you-change-the-size-of-figures-drawn-with-matplotlib,How do you change the size of figures drawn with matplotlib?
69,"I think what Ignacio is saying is that your JSON file is incorrect. You have[]when you should have{}.[]are for lists,{}are for dictionaries.",/questions/2835559/parsing-values-from-a-json-file,Parsing values from a JSON file?
70,NA,/questions/4706499/how-do-you-append-to-a-file-in-python,How do you append to a file in Python?
71,You are running into the old problem with floating point numbers that all numbers cannot be represented. The command line is just showing you the full floating point form from memory.,/questions/455612/limiting-floats-to-two-decimal-points,Limiting floats to two decimal points
72,Just assign it to the.columnsattribute:,/questions/11346283/renaming-columns-in-pandas,Renaming columns in pandas
73,Tryhasattr():,/questions/610883/how-to-know-if-an-object-has-an-attribute-in-python,How to know if an object has an attribute in Python
74,Usedict.pop():,/questions/11277432/how-to-remove-a-key-from-a-python-dictionary,How to remove a key from a Python dictionary?
75,The syntax is the*and**.  The names*argsand**kwargsare only by convention but there's no hard requirement to use them.,/questions/3394835/use-of-args-and-kwargs,Use of *args and **kwargs [duplicate]
76,You could use thefileinputmodule:,/questions/1450393/how-do-you-read-from-stdin,How do you read from stdin?
77,To answer your first question....formatjust seems more sophisticated in many ways. An annoying thing about%is also how it can either take a variable or a tuple. You'd think the following would always work:,/questions/5082452/python-string-formatting-vs-format,Python string formatting: % vs. .format
78,"If you only want one item's count, use thecountmethod:",/questions/2600191/how-can-i-count-the-occurrences-of-a-list-item,How can I count the occurrences of a list item?
79,"Usually, activating a virtualenv gives you a shell function named:",/questions/990754/how-to-leave-exit-deactivate-a-python-virtualenv,How to leave/exit/deactivate a python virtualenv?
80,"To select rows whose column value equals a scalar,some_value, use==:",/questions/17071871/select-rows-from-a-dataframe-based-on-values-in-a-column-in-pandas,Select rows from a DataFrame based on values in a column in pandas
81,How about:,/questions/931092/reverse-a-string-in-python,Reverse a string in Python
82,"Python doesn't have the same types as C/C++, which appears to be your question.",/questions/402504/how-to-determine-a-python-variables-type,How to determine a Python variable's type?
83,Usedeland specify the index of the element you want to delete:,/questions/627435/how-do-i-remove-an-element-from-a-list-by-index-in-python,How do I remove an element from a list by index in Python?
84,"Enums have been added to Python 3.4 as described inPEP 435.  It has also beenbackported to 3.3, 3.2, 3.1, 2.7, 2.6, 2.5, and 2.4on pypi.",/questions/36932/how-can-i-represent-an-enum-in-python,How can I represent an 'Enum' in Python?
85,Links to the documentation:,/questions/961632/converting-integer-to-string-in-python,Converting integer to string in Python?
86,"Have you tried the__name__attribute of the class? ietype(x).__name__will give you the name of the class, which I think is what you want.",/questions/510972/getting-the-class-name-of-an-instance,Getting the class name of an instance?
87,Answer in one line:,/questions/2257441/random-string-generation-with-upper-case-letters-and-digits-in-python,Random string generation with upper case letters and digits in Python
88,Strings:,/questions/339007/nicest-way-to-pad-zeroes-to-a-string,Nicest way to pad zeroes to a string
89,"In Python 2.6 and earlier, the dict constructor can receive an iterable of key/value pairs:",/questions/1747817/create-a-dictionary-with-list-comprehension-in-python,Create a dictionary with list comprehension in Python
90,I found this to be the only one short + flexible + portable + readable:,/questions/5574702/how-to-print-to-stderr-in-python,How to print to stderr in Python?
91,You need to read the PythonUnicode HOWTO. This error is thevery first example.,/questions/9942594/unicodeencodeerror-ascii-codec-cant-encode-character-u-xa0-in-position-20,UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128)
92,"Names, in a class, with a leading underscore are simply to indicate to other programmers that the attribute or method is intended to be private.  However, nothing special is done with the name itself.",/questions/1301346/what-is-the-meaning-of-a-single-and-a-double-underscore-before-an-object-name,What is the meaning of a single and a double underscore before an object name?
93,"Empty strings are""falsy""which means they are considered false in a Boolean context, so you can just do this:",/questions/9573244/most-elegant-way-to-check-if-the-string-is-empty-in-python,Most elegant way to check if the string is empty in Python?
94,You need to double the{{and}}:,/questions/5466451/how-can-i-print-literal-curly-brace-characters-in-python-string-and-also-use-fo,How can I print literal curly-brace characters in python string and also use .format on it?
95,"Since this question was asked in 2010, there has been real simplification in how to do simple multithreading with python withmapandpool.",/questions/2846653/how-to-use-threading-in-python,How to use threading in Python?
96,"Python includes a profiler calledcProfile. It not only gives the total running time, but also times each function separately, and tells you how many times each function was called, making it easy to determine where you should make optimizations.",/questions/582336/how-can-you-profile-a-python-script,How can you profile a Python script?
97,Try:,/questions/3996904/generate-random-integers-between-0-and-9,Generate random integers between 0 and 9
98,DataFrame.iterrowsis a generator which yield both index and row,/questions/16476924/how-to-iterate-over-rows-in-a-dataframe-in-pandas,How to iterate over rows in a DataFrame in Pandas?
99,"To summarize the contents of other (already good!) answers,isinstancecaters for inheritance (an instance of a derived classis aninstance of a base class, too), while checking for equality oftypedoes not (it demands identity of types and rejects instances of subtypes, AKA subclasses).",/questions/1549801/what-are-the-differences-between-type-and-isinstance,What are the differences between type() and isinstance()?
100,You can useglob:,/questions/3964681/find-all-files-in-a-directory-with-extension-txt-in-python,Find all files in a directory with extension .txt in Python
101,1 - Setting,/questions/372885/how-do-i-connect-to-a-mysql-database-in-python,How do I connect to a MySQL Database in Python?
102,"Maybe I missed the question, but why not:",/questions/1319615/proper-way-to-declare-custom-exceptions-in-modern-python,Proper way to declare custom exceptions in modern Python?
